Employee_ID,Full_Name,Department,Position,Region,Salary,Years_of_Service,Project_Name,Project_Budget,Project_Status,Contract_Type,Performance_Score,Compliance_Status,Is_Under_Investigation,Under_Investigation,Last_Promotion_Date,Leave_Days_Remaining,Overtime_Hours,Supervisor_Name,Security_Clearance,Remarks
d5bc6b5e-c446-4747-9204-e1c5794388e4,Barbara Hoffman,Ministry of Education,Policy Advisor,Central,161958,16,Exclusive intangible middleware,22902311,Completed,Contract,3.7,Under Review,Yes,1,10/12/2015,18,416,Cody Spencer,Medium,Unit newspaper try lose cut address will six.
0fcdfad0-2b5f-41ef-90b4-e9b2b053b339,Jasmine Martinez,Ministry of Health,Policy Advisor,Central,186867,6,Face-to-face clear-thinking forecast,14873394,Completed,Temporary,2.23,Under Review,No,0,14/03/2021,57,335,Heather Mitchell,High,Article must hundred class party.
9d50d0bf-c350-4348-ad25-5995c4616f4b,Allen Anderson,Ministry of Interior,Field Officer,East,171932,8,Advanced even-keeled productivity,325391,Completed,Contract,2.48,Under Review,Yes,1,13/03/2017,8,138,Misty Taylor,High,Door theory trip leave environmental friend less.
d148dcd1-35ac-4cb2-b344-d9fb96e504e2,Edgar Young,Ministry of Transport,Director,Central,143694,25,Implemented local help-desk,48548102,On Hold,Permanent,3.2,Non-Compliant,Yes,1,19/01/2019,47,246,Felicia Kelly,Low,Her economic career student condition interesting.
0ad437ef-264a-4528-becb-546cba40db7d,Alexander Collins,Ministry of Transport,Auditor,West,299178,18,Reactive 6thgeneration definition,6798541,On Hold,Contract,4.16,Compliant,Yes,1,11/04/2023,50,147,Danielle Moore,Top Secret,Test woman put call road since.
a7a2d418-0773-4af2-9dae-a7503e82a8dd,Corey Ramsey,Ministry of Finance,Clerk,West,159879,25,Managed discrete instruction set,17068603,Cancelled,Permanent,2.27,Non-Compliant,Yes,1,14/04/2021,17,229,Jason Rivera,Top Secret,Institution degree attorney quickly central role.
6bea541c-016e-4c0a-b9f4-aaeaed81eea5,Susan Miller,Ministry of Education,Auditor,Central,150268,12,Vision-oriented modular info-mediaries,47527053,Completed,Contract,3.32,Under Review,Yes,1,15/10/2016,40,279,Dawn Larson,Medium,Later at program institution image like.
99f3cbaa-751f-44fa-b0e5-3c176a6f4cba,Devon White,Ministry of Energy,Assistant Director,South,247892,15,Stand-alone disintermediate core,37287064,On Hold,Temporary,2.38,Under Review,Yes,1,01/01/2020,47,124,Tommy Walsh,Medium,Thought bed same determine author.
e3738904-0d3d-4cb1-941b-bd2d11d6d420,Molly Gregory,Ministry of Education,Field Officer,East,94886,26,Networked empowering open architecture,21485690,On Hold,Permanent,4.26,Compliant,Yes,1,12/12/2018,44,191,James Stewart,Medium,Throw indicate thousand democratic people just.
f99c61bd-f28c-4efb-9a74-b123a4427c2e,Angie Webb,Ministry of Environment,Engineer,West,177337,26,Total holistic concept,28049891,Cancelled,Permanent,2.87,Non-Compliant,Yes,1,28/09/2016,41,373,Kimberly Collins,Medium,Choice after within their event young girl.
179208f5-94f5-4deb-abdc-23f456edcf36,Edward Clayton,Ministry of Health,Auditor,East,253458,32,Re-contextualized regional function,14206894,Cancelled,Contract,1.31,Under Review,Yes,1,09/03/2019,24,79,Vanessa Williams,Medium,Study team hard cold.
985b3744-e33b-4dc2-9eae-a7a2b07f6415,Savannah Smith,Ministry of Health,Engineer,East,299286,10,Assimilated incremental moratorium,19412610,Active,Temporary,1.66,Non-Compliant,Yes,1,20/12/2022,51,93,Shawn Pacheco,Medium,Hotel man expect or ever perform everybody.
806d2cee-c903-471c-9642-e4fcdbdd358c,Angela Snyder,Ministry of Education,Data Analyst,West,208266,16,Stand-alone radical conglomeration,29823044,Active,Temporary,1.24,Compliant,No,0,30/06/2023,13,225,Dennis Wallace,Low,Interesting he case gun director rest power.
50829691-15a9-461f-89d8-b2522e27214d,Derek Turner,Ministry of Transport,Data Analyst,South,127498,7,Assimilated zero-defect definition,29638176,Cancelled,Temporary,3,Non-Compliant,Yes,1,14/09/2023,43,64,Kristen Smith,Low,Floor billion them a.
9db73847-d83c-4cb7-a89e-ca1a1e093de1,Victor Trujillo,Ministry of Transport,Inspector,South,152727,17,Implemented demand-driven model,13680994,Active,Permanent,1.43,Compliant,No,0,01/01/2016,24,87,Margaret Banks,Top Secret,Line two than new wear blood occur.
8755f791-493b-426a-a0af-099e8bd645ac,Marie Williams,Ministry of Energy,Auditor,West,166324,23,Switchable global intranet,5696526,On Hold,Permanent,1.46,Under Review,No,0,21/10/2016,18,87,Ronnie Kelly,High,Various teach history.
3bee8ccb-d3a0-40c2-b790-f9a85c4f8556,Ann Mcclain,Ministry of Health,Inspector,Central,215203,26,Decentralized 5thgeneration secured line,33175239,Cancelled,Temporary,4.76,Non-Compliant,Yes,1,08/09/2016,38,200,Sara Russo,Low,Level fear image guess off live.
e07e62e0-8061-4ddc-aec3-9c8dcc549dbb,Jordan Ramsey,Ministry of Energy,Auditor,Central,231335,21,Decentralized regional flexibility,3391070,Cancelled,Temporary,4.49,Non-Compliant,Yes,1,23/04/2018,54,213,David Cummings,Medium,Debate experience often southern.
3aba6b86-51e5-4c4d-b2ca-db6d3f4b4330,Amy Watson,Ministry of Transport,Director,East,56023,22,Stand-alone solution-oriented capacity,17563484,Completed,Permanent,2.81,Non-Compliant,No,0,28/09/2016,14,203,Maria Patton,Medium,Throw reach news civil station admit official cover.
03f15ac6-f025-4b94-a448-3119583b1769,Alicia Williams,Ministry of Energy,Assistant Director,Central,81090,7,Open-source disintermediate moderator,34456387,On Hold,Contract,4.94,Non-Compliant,No,0,08/08/2017,15,400,Jeffery Huang,High,Along against long grow remain conference.
c8d0bb47-b75c-4301-b482-48d68b484294,Thomas Davis,Ministry of Environment,Data Analyst,East,107221,14,Centralized full-range intranet,26376833,On Hold,Temporary,1,Compliant,No,0,09/09/2019,26,381,Robert Simpson,Medium,Visit blood agent child role.
8c237c33-7dd8-457f-9117-c8b02ee73aac,William Johnson,Ministry of Transport,Data Analyst,Central,104820,15,Programmable exuding solution,35667580,Completed,Contract,3.46,Compliant,Yes,1,03/08/2016,39,88,Christopher Lee,High,Them billion rest present or responsibility task style.
7a941fad-47af-425f-a793-5a33781d0c2d,Jessica Mosley,Ministry of Labor,Clerk,South,40769,7,Pre-emptive leadingedge alliance,23712951,Active,Contract,3.47,Non-Compliant,Yes,1,10/10/2023,9,475,Edward Miller,High,Cell third culture wall.
e037c340-0744-4851-b134-47ee9227a942,Stacey Thomas,Ministry of Interior,Inspector,South,99735,9,Up-sized user-facing productivity,38121655,Cancelled,Permanent,2.83,Under Review,No,0,15/06/2018,3,60,Peter Hughes,Top Secret,Investment personal already easy operation ready draw all.
fa8bad96-bca8-4d80-8221-a8165268ea1e,Sara Lopez,Ministry of Health,Data Analyst,South,234027,8,Progressive leadingedge policy,47216098,Active,Temporary,2.59,Compliant,No,0,13/12/2017,50,270,George Robinson,High,Race inside trial need special.
55343048-2b77-4a3a-9b23-6d0a222ccfbf,Natalie Johnson,Ministry of Finance,Data Analyst,Central,104925,23,Centralized client-driven parallelism,247745,On Hold,Temporary,2.82,Non-Compliant,Yes,1,15/02/2023,18,93,Danny Santiago,Medium,Senior majority idea pay tax.
44064847-f374-4df9-bf76-5ca2dc7dcd06,Mr. Steven White,Ministry of Environment,Clerk,East,292709,29,Networked multimedia orchestration,3892824,Active,Permanent,2.66,Non-Compliant,No,0,10/09/2018,27,306,Melinda Mitchell,High,People read subject.
9572ec3d-0e39-451c-a74c-6730f87a80bd,John Jones,Ministry of Defense,Assistant Director,East,239041,18,Upgradable global migration,43774032,On Hold,Permanent,3.92,Compliant,Yes,1,08/10/2021,20,26,Amber Frazier,Top Secret,Simple player though him store take care.
a461b921-6136-41d6-804d-5d48edcd91e5,Carlos Escobar,Ministry of Interior,Policy Advisor,South,45311,31,Focused asymmetric success,33792118,Cancelled,Contract,1.54,Compliant,Yes,1,26/03/2025,58,213,Anthony Castro,High,Political measure sound head college east.
f0ea3511-b0fa-4c4c-89f8-cdc42a34e005,Casey West,Ministry of Finance,Field Officer,South,143355,30,Programmable upward-trending moderator,5350295,Cancelled,Temporary,1.79,Non-Compliant,Yes,1,30/08/2020,46,73,Sheri Johnson,Medium,Pattern real onto return manager reason.
1a603683-5877-4689-939e-ed0b0ba82d02,Amanda Young,Ministry of Transport,Engineer,Central,275796,18,Proactive grid-enabled paradigm,37806355,Cancelled,Permanent,1.72,Non-Compliant,Yes,1,23/02/2019,13,60,Christopher Fisher,Low,Relate edge billion three approach.
12dc6e00-8049-427f-bd05-44ca1cc2da5c,Laura Byrd,Ministry of Defense,Assistant Director,Central,254176,17,Monitored asymmetric hub,14501814,Completed,Permanent,2.05,Compliant,Yes,1,01/03/2020,32,185,Eugene Mays,Top Secret,Process key central technology anyone.
aca30770-a99a-4fbd-96ee-c3cab90c8c6a,Aimee Valenzuela,Ministry of Education,Director,East,224779,14,Quality-focused zero-defect instruction set,39334412,Completed,Temporary,3.1,Compliant,Yes,1,04/05/2017,47,30,Jessica Wright,Low,Father area nearly.
